Station Name, Nitrogen Dioxide, Ozone, Sulfur Dioxide, Carbon Monoxide, Particle PM10, Particle PM2.5, Particles TSP, Visibility
Woolloongabba,0.025,,,0,33.7,8.4,,
Wynnum West,,,0.002,,14.5,3.5,,
Mutdapilly,0.001,0.038,,,26.3,6.6,,
Rocklea,0.007,0.036,,,13.6,4.8,,11
Flinders View,0.005,0.036,0,,20.1,7,,4
Wynnum,0.001,,0,,14.9,4.7,,
South Brisbane,0.015,,,0,23.3,7.7,,
Springwood,0,0.038,0,,14.9,5.8,,
Southport,0.001,0.033,,,11,4.9,,
North Maclean,0.002,0.04,,,25.8,7.5,,
Lytton,,,0,,22.5,4.7,,
Deception Bay,0.001,0.037,,,20.3,7.2,,
Deagon,0.004,0.033,,,19.4,6.9,,10
Cannon Hill,0.007,0.031,,,25.3,8.2,,
Brisbane CBD,,,,,20.3,7.3,,9
Mountain Creek,0.003,0.032,,,15.9,6.1,,7
